Name,Genre,Description,Year,Runtime
L.A. Story,"Comedy, Drama, Fantasy            ","With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",1991,95 min
Naked Lunch,Drama            ,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa.",1991,115 min
Point Break,"Action, Crime, Thriller            ",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,1991,122 min
Lik wong,"Action, Comedy, Crime            ","Riki-Oh, a young man who has superhuman strength, is incarcerated at a private prison, where inmates are treated like slaves, and is forced to use his unstoppable form of martial arts to destroy the corrupt officials and their lackeys.",1991,91 min
Terminator 2: Judgment Day,"Action, Sci-Fi            ","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg.",1991,137 min
The Last Boy Scout,"Action, Comedy, Crime            ","A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",1991,105 min
The People Under the Stairs,"Comedy, Horror, Mystery            ","Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",1991,102 min
The Rapture,"Drama, Mystery            ","A telephone operator living an empty, amoral life finds God and loses him again.",1991,100 min
The Silence of the Lambs,"Crime, Drama, Thriller            ","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,118 min
Bad Lieutenant,"Crime, Drama, Thriller            ","While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness and redemption.",1992,96 min
Batman Returns,"Action, Crime, Fantasy            ","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",1992,126 min
Bitter Moon,"Drama, Romance, Thriller            ","After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.",1992,139 min
Braindead,"Comedy, Fantasy, Horror            ","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",1992,104 min
El mariachi,"Action, Crime, Thriller            ",A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,1992,81 min
Glengarry Glen Ross,"Crime, Drama, Mystery            ",An examination of the machinations behind the scenes at a real estate office.,1992,100 min
Lat sau san taam,"Action, Crime, Thriller            ",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,1992,128 min
C'est arrivé près de chez vous,"Comedy, Crime, Drama            ",A film crew follows a ruthless thief and heartless killer as he goes about his daily routine. But complications set in when the film crew lose their objectivity and begin lending a hand.,1992,95 min
One False Move,"Crime, Drama, Thriller            ",A small town police chief awaits the arrival of a gang of killers.,1992,105 min
Ging chaat goo si III: Chiu kup ging chaat,"Action, Comedy, Crime            ",A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,1992,96 min
Raising Cain,"Crime, Drama, Horror            ","The oncologist wife of a prominent child psychologist suspects her husband has an unhealthy scientific obsession with their child, unaware of what - or who - is really going on inside his head.",1992,92 min
Reservoir Dogs,"Crime, Thriller            ","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,99 min
Romper Stomper,"Crime, Drama, Thriller            ",A group of skinheads become alarmed at the way their neighbourhood is changing.,1992,94 min
The Player,"Comedy, Crime, Drama            ","A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?",1992,124 min
Twin Peaks: Fire Walk with Me,"Drama, Horror, Mystery            ","Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town.",1992,134 min
Unforgiven,"Drama, Western            ","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",1992,130 min
I Love a Man in Uniform,"Drama, Thriller            ","Henry Adler, a bank employee and actor, is cast as a cop in an upcoming television series but he begins to take his duties seriously.",1993,99 min
Bad Boy Bubby,"Comedy, Crime, Drama            ","Bubby has spent thirty years trapped in the same small room, tricked by his mother. One day, he manages to escape, and, deranged and naive in equal measures, his adventure into the modern and nihilistic life begins.",1993,114 min
Carlito's Way,"Crime, Drama, Thriller            ","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",1993,144 min
Cronos,"Drama, Fantasy, Horror            ","A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.",1992,94 min
Dazed and Confused,Comedy            ,The adventures of high school and junior high students on the last day of school in May 1976.,1993,103 min
Groundhog Day,"Comedy, Drama, Fantasy            ","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",1993,101 min
Jurassic Park,"Action, Adventure, Sci-Fi            ",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993,127 min
Naked,"Comedy, Drama            ",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,1993,131 min
Red Rock West,"Crime, Drama, Thriller            ","Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",1993,98 min
Suture,"Drama, Thriller            ","After his brother tries to kill him, a man survives only to find himself in another man's body.",1993,96 min
Fong Sai Yuk 2,"Action, Adventure, Comedy            ","The Cantonese hero Fong Sai Yuk becomes involved in the secret brotherhood ""The Red Flower"", who are trying to overthrow the Manchurian emperor and re-establishing the Ming dynasty. The ...                See full summary »",1993,95 min
